chr,from.id,from.coord,to.id,to.coord,type,size
chr18,0,0,0,0,gap,0
chr18,0,0,8,800000,domain,800000
chr18,8,800000,25,2500000,domain,1700000
chr18,25,2500000,31,3100000,domain,600000
chr18,31,3100000,38,3800000,domain,700000
chr18,38,3800000,49,4900000,domain,1100000
chr18,49,4900000,56,5600000,domain,700000
chr18,56,5600000,64,6400000,domain,800000
chr18,64,6400000,82,8200000,domain,1800000
chr18,82,8200000,96,9600000,domain,1400000
chr18,96,9600000,104,10400000,domain,800000
chr18,104,10400000,111,11100000,domain,700000
chr18,111,11100000,139,13900000,domain,2800000
chr18,139,13900000,150,15000000,domain,1100000
chr18,150,15000000,157,15700000,domain,700000
chr18,157,15700000,168,16800000,domain,1100000
chr18,168,16800000,185,18500000,domain,1700000
chr18,185,18500000,201,20100000,domain,1600000
chr18,201,20100000,223,22300000,domain,2200000
chr18,223,22300000,234,23400000,domain,1100000
chr18,234,23400000,246,24600000,domain,1200000
chr18,246,24600000,256,25600000,domain,1000000
chr18,256,25600000,274,27400000,domain,1800000
chr18,274,27400000,291,29100000,domain,1700000
chr18,291,29100000,326,32600000,domain,3500000
chr18,326,32600000,342,34200000,domain,1600000
chr18,342,34200000,359,35900000,domain,1700000
chr18,359,35900000,375,37500000,domain,1600000
chr18,375,37500000,402,40200000,domain,2700000
chr18,402,40200000,418,41800000,domain,1600000
chr18,418,41800000,426,42600000,domain,800000
chr18,426,42600000,445,44500000,domain,1900000
chr18,445,44500000,461,46100000,domain,1600000
chr18,461,46100000,477,47700000,domain,1600000
chr18,477,47700000,487,48700000,domain,1000000
chr18,487,48700000,496,49600000,domain,900000
chr18,496,49600000,511,51100000,domain,1500000
chr18,511,51100000,525,52500000,domain,1400000
chr18,525,52500000,535,53500000,domain,1000000
chr18,535,53500000,572,57200000,domain,3700000
chr18,572,57200000,589,58900000,domain,1700000
chr18,589,58900000,606,60600000,domain,1700000
chr18,606,60600000,627,62700000,domain,2100000
chr18,627,62700000,641,64100000,domain,1400000
chr18,641,64100000,669,66900000,domain,2800000
chr18,669,66900000,678,67800000,domain,900000
chr18,678,67800000,691,69100000,domain,1300000
chr18,691,69100000,703,70300000,domain,1200000
