chr,from.coord,to.coord,type
chr15,0,0,gap
chr15,0,200000,domain
chr15,200000,1000000,domain
chr15,1000000,1600000,domain
chr15,1600000,5100000,domain
chr15,5100000,6300000,domain
chr15,6300000,8200000,domain
chr15,8200000,9700000,domain
chr15,9700000,11100000,domain
chr15,11100000,12000000,domain
chr15,12000000,13600000,domain
chr15,13600000,14300000,domain
chr15,14300000,15000000,domain
chr15,15000000,15800000,domain
chr15,15800000,17100000,domain
chr15,17100000,18800000,domain
chr15,18800000,20400000,domain
chr15,20400000,22400000,domain
chr15,22400000,23800000,domain
chr15,23800000,25000000,domain
chr15,25000000,26900000,domain
chr15,26900000,27700000,domain
chr15,27700000,28500000,domain
chr15,28500000,29500000,domain
chr15,29500000,30600000,domain
chr15,30600000,31900000,domain
chr15,31900000,34200000,domain
chr15,34200000,34900000,domain
chr15,34900000,35600000,domain
chr15,35600000,36400000,domain
chr15,36400000,37000000,domain
chr15,37000000,37800000,domain
chr15,37800000,38500000,domain
chr15,38500000,40500000,domain
chr15,40500000,41600000,domain
chr15,41600000,43100000,domain
chr15,43100000,44300000,domain
chr15,44300000,45400000,domain
chr15,45400000,46400000,domain
chr15,46400000,47400000,domain
chr15,47400000,48300000,domain
chr15,48300000,49900000,domain
chr15,49900000,51100000,domain
chr15,51100000,52000000,domain
chr15,52000000,52900000,domain
chr15,52900000,53800000,domain
chr15,53800000,55100000,domain
chr15,55100000,56200000,domain
chr15,56200000,57100000,domain
chr15,57100000,57800000,domain
chr15,57800000,58900000,domain
chr15,58900000,59700000,domain
chr15,59700000,60300000,domain
chr15,60300000,62700000,domain
chr15,62700000,65400000,domain
chr15,65400000,67400000,domain
chr15,67400000,68900000,domain
chr15,68900000,69600000,domain
chr15,69600000,70700000,domain
chr15,70700000,72800000,domain
chr15,72800000,73500000,domain
chr15,73500000,74200000,domain
chr15,74200000,74900000,domain
chr15,74900000,76300000,domain
