chr,from.id,from.coord,to.id,to.coord,type,size
chr8,0,0,0,0,gap,0
chr8,0,0,19,1900000,domain,1900000
chr8,19,1900000,47,4700000,domain,2800000
chr8,47,4700000,59,5900000,domain,1200000
chr8,59,5900000,67,6700000,domain,800000
chr8,67,6700000,82,8200000,domain,1500000
chr8,82,8200000,99,9900000,domain,1700000
chr8,99,9900000,110,11000000,domain,1100000
chr8,110,11000000,145,14500000,domain,3500000
chr8,145,14500000,152,15200000,domain,700000
chr8,152,15200000,161,16100000,domain,900000
chr8,161,16100000,175,17500000,domain,1400000
chr8,175,17500000,194,19400000,domain,1900000
chr8,194,19400000,211,21100000,domain,1700000
chr8,211,21100000,226,22600000,domain,1500000
chr8,226,22600000,233,23300000,domain,700000
chr8,233,23300000,246,24600000,domain,1300000
chr8,246,24600000,258,25800000,domain,1200000
chr8,258,25800000,271,27100000,domain,1300000
chr8,271,27100000,282,28200000,domain,1100000
chr8,282,28200000,296,29600000,domain,1400000
chr8,296,29600000,313,31300000,domain,1700000
chr8,313,31300000,322,32200000,domain,900000
chr8,322,32200000,329,32900000,domain,700000
chr8,329,32900000,342,34200000,domain,1300000
chr8,342,34200000,354,35400000,domain,1200000
chr8,354,35400000,369,36900000,domain,1500000
chr8,369,36900000,386,38600000,domain,1700000
chr8,386,38600000,394,39400000,domain,800000
chr8,394,39400000,431,43100000,domain,3700000
chr8,431,43100000,447,44700000,domain,1600000
chr8,447,44700000,460,46000000,domain,1300000
chr8,460,46000000,468,46800000,domain,800000
chr8,468,46800000,479,47900000,domain,1100000
chr8,479,47900000,492,49200000,domain,1300000
chr8,492,49200000,509,50900000,domain,1700000
chr8,509,50900000,520,52000000,domain,1100000
chr8,520,52000000,535,53500000,domain,1500000
chr8,535,53500000,547,54700000,domain,1200000
chr8,547,54700000,559,55900000,domain,1200000
chr8,559,55900000,586,58600000,domain,2700000
chr8,586,58600000,597,59700000,domain,1100000
chr8,597,59700000,608,60800000,domain,1100000
chr8,608,60800000,619,61900000,domain,1100000
chr8,619,61900000,624,62400000,domain,500000
chr8,624,62400000,634,63400000,domain,1000000
chr8,634,63400000,644,64400000,domain,1000000
chr8,644,64400000,654,65400000,domain,1000000
chr8,654,65400000,664,66400000,domain,1000000
chr8,664,66400000,676,67600000,domain,1200000
chr8,676,67600000,685,68500000,domain,900000
chr8,685,68500000,697,69700000,domain,1200000
chr8,697,69700000,705,70500000,domain,800000
chr8,705,70500000,718,71800000,domain,1300000
chr8,718,71800000,747,74700000,domain,2900000
chr8,747,74700000,765,76500000,domain,1800000
chr8,765,76500000,794,79400000,domain,2900000
chr8,794,79400000,811,81100000,domain,1700000
chr8,811,81100000,833,83300000,domain,2200000
chr8,833,83300000,847,84700000,domain,1400000
chr8,847,84700000,857,85700000,domain,1000000
chr8,857,85700000,875,87500000,domain,1800000
chr8,875,87500000,898,89800000,domain,2300000
chr8,898,89800000,909,90900000,domain,1100000
chr8,909,90900000,917,91700000,domain,800000
chr8,917,91700000,928,92800000,domain,1100000
chr8,928,92800000,938,93800000,domain,1000000
chr8,938,93800000,949,94900000,domain,1100000
chr8,949,94900000,958,95800000,domain,900000
chr8,958,95800000,968,96800000,domain,1000000
chr8,968,96800000,1007,100700000,domain,3900000
chr8,1007,100700000,1014,101400000,domain,700000
chr8,1014,101400000,1026,102600000,domain,1200000
chr8,1026,102600000,1052,105200000,domain,2600000
chr8,1052,105200000,1077,107700000,domain,2500000
chr8,1077,107700000,1089,108900000,domain,1200000
chr8,1089,108900000,1106,110600000,domain,1700000
chr8,1106,110600000,1115,111500000,domain,900000
chr8,1115,111500000,1122,112200000,domain,700000
chr8,1122,112200000,1128,112800000,domain,600000
chr8,1128,112800000,1139,113900000,domain,1100000
chr8,1139,113900000,1145,114500000,domain,600000
chr8,1145,114500000,1161,116100000,domain,1600000
chr8,1161,116100000,1170,117000000,domain,900000
chr8,1170,117000000,1195,119500000,domain,2500000
chr8,1195,119500000,1205,120500000,domain,1000000
chr8,1205,120500000,1224,122400000,domain,1900000
chr8,1224,122400000,1243,124300000,domain,1900000
chr8,1243,124300000,1267,126700000,domain,2400000
chr8,1267,126700000,1280,128000000,domain,1300000
chr8,1280,128000000,1287,128700000,domain,700000
chr8,1287,128700000,1298,129800000,domain,1100000
chr8,1298,129800000,1304,130400000,domain,600000
