chr,from.id,from.coord,to.id,to.coord,type,size
chr20,0,0,0,0,gap,0
chr20,0,0,11,1100000,domain,1100000
chr20,11,1100000,24,2400000,domain,1300000
chr20,24,2400000,40,4000000,domain,1600000
chr20,40,4000000,46,4600000,domain,600000
chr20,46,4600000,52,5200000,domain,600000
chr20,52,5200000,60,6000000,domain,800000
chr20,60,6000000,78,7800000,domain,1800000
chr20,78,7800000,87,8700000,domain,900000
chr20,87,8700000,104,10400000,domain,1700000
chr20,104,10400000,115,11500000,domain,1100000
chr20,115,11500000,128,12800000,domain,1300000
chr20,128,12800000,140,14000000,domain,1200000
chr20,140,14000000,156,15600000,domain,1600000
chr20,156,15600000,167,16700000,domain,1100000
chr20,167,16700000,173,17300000,domain,600000
chr20,173,17300000,182,18200000,domain,900000
chr20,182,18200000,196,19600000,domain,1400000
chr20,196,19600000,207,20700000,domain,1100000
chr20,207,20700000,215,21500000,domain,800000
chr20,215,21500000,222,22200000,domain,700000
chr20,222,22200000,236,23600000,domain,1400000
chr20,236,23600000,248,24800000,domain,1200000
chr20,248,24800000,256,25600000,domain,800000
chr20,256,25600000,269,26900000,domain,1300000
chr20,269,26900000,276,27600000,domain,700000
chr20,276,27600000,295,29500000,domain,1900000
chr20,295,29500000,301,30100000,domain,600000
chr20,301,30100000,313,31300000,domain,1200000
chr20,313,31300000,327,32700000,domain,1400000
chr20,327,32700000,346,34600000,domain,1900000
chr20,346,34600000,353,35300000,domain,700000
chr20,353,35300000,369,36900000,domain,1600000
chr20,369,36900000,375,37500000,domain,600000
chr20,375,37500000,392,39200000,domain,1700000
chr20,392,39200000,403,40300000,domain,1100000
chr20,403,40300000,408,40800000,domain,500000
chr20,408,40800000,416,41600000,domain,800000
chr20,416,41600000,427,42700000,domain,1100000
chr20,427,42700000,435,43500000,domain,800000
chr20,435,43500000,447,44700000,domain,1200000
chr20,447,44700000,460,46000000,domain,1300000
chr20,460,46000000,467,46700000,domain,700000
chr20,467,46700000,473,47300000,domain,600000
chr20,473,47300000,488,48800000,domain,1500000
chr20,488,48800000,499,49900000,domain,1100000
chr20,499,49900000,506,50600000,domain,700000
chr20,506,50600000,523,52300000,domain,1700000
chr20,523,52300000,543,54300000,domain,2000000
chr20,543,54300000,559,55900000,domain,1600000
chr20,559,55900000,567,56700000,domain,800000
