chr,from.id,from.coord,to.id,to.coord,type,size
chr4,0,0,0,0,gap,0
chr4,0,0,7,700000,domain,700000
chr4,7,700000,21,2100000,domain,1400000
chr4,21,2100000,33,3300000,domain,1200000
chr4,33,3300000,42,4200000,domain,900000
chr4,42,4200000,54,5400000,domain,1200000
chr4,54,5400000,66,6600000,domain,1200000
chr4,66,6600000,75,7500000,domain,900000
chr4,75,7500000,84,8400000,domain,900000
chr4,84,8400000,110,11000000,domain,2600000
chr4,110,11000000,122,12200000,domain,1200000
chr4,122,12200000,132,13200000,domain,1000000
chr4,132,13200000,149,14900000,domain,1700000
chr4,149,14900000,163,16300000,domain,1400000
chr4,163,16300000,175,17500000,domain,1200000
chr4,175,17500000,190,19000000,domain,1500000
chr4,190,19000000,204,20400000,domain,1400000
chr4,204,20400000,216,21600000,domain,1200000
chr4,216,21600000,242,24200000,domain,2600000
chr4,242,24200000,288,28800000,domain,4600000
chr4,288,28800000,299,29900000,domain,1100000
chr4,299,29900000,314,31400000,domain,1500000
chr4,314,31400000,320,32000000,domain,600000
chr4,320,32000000,327,32700000,domain,700000
chr4,327,32700000,338,33800000,domain,1100000
chr4,338,33800000,355,35500000,domain,1700000
chr4,355,35500000,375,37500000,domain,2000000
chr4,375,37500000,388,38800000,domain,1300000
chr4,388,38800000,396,39600000,domain,800000
chr4,396,39600000,419,41900000,domain,2300000
chr4,419,41900000,427,42700000,domain,800000
chr4,427,42700000,444,44400000,domain,1700000
chr4,444,44400000,465,46500000,domain,2100000
chr4,465,46500000,476,47600000,domain,1100000
chr4,476,47600000,500,50000000,domain,2400000
chr4,500,50000000,519,51900000,domain,1900000
chr4,519,51900000,546,54600000,domain,2700000
chr4,546,54600000,555,55500000,domain,900000
chr4,555,55500000,564,56400000,domain,900000
chr4,564,56400000,575,57500000,domain,1100000
chr4,575,57500000,581,58100000,domain,600000
chr4,581,58100000,587,58700000,domain,600000
chr4,587,58700000,593,59300000,domain,600000
chr4,593,59300000,600,60000000,domain,700000
chr4,600,60000000,617,61700000,domain,1700000
chr4,617,61700000,631,63100000,domain,1400000
chr4,631,63100000,639,63900000,domain,800000
chr4,639,63900000,652,65200000,domain,1300000
chr4,652,65200000,665,66500000,domain,1300000
chr4,665,66500000,675,67500000,domain,1000000
chr4,675,67500000,685,68500000,domain,1000000
chr4,685,68500000,694,69400000,domain,900000
chr4,694,69400000,710,71000000,domain,1600000
chr4,710,71000000,721,72100000,domain,1100000
chr4,721,72100000,729,72900000,domain,800000
chr4,729,72900000,747,74700000,domain,1800000
chr4,747,74700000,759,75900000,domain,1200000
chr4,759,75900000,779,77900000,domain,2000000
chr4,779,77900000,806,80600000,domain,2700000
chr4,806,80600000,819,81900000,domain,1300000
chr4,819,81900000,836,83600000,domain,1700000
chr4,836,83600000,854,85400000,domain,1800000
chr4,854,85400000,877,87700000,domain,2300000
chr4,877,87700000,884,88400000,domain,700000
chr4,884,88400000,892,89200000,domain,800000
chr4,892,89200000,915,91500000,domain,2300000
chr4,915,91500000,932,93200000,domain,1700000
chr4,932,93200000,938,93800000,domain,600000
chr4,938,93800000,945,94500000,domain,700000
chr4,945,94500000,956,95600000,domain,1100000
chr4,956,95600000,971,97100000,domain,1500000
chr4,971,97100000,982,98200000,domain,1100000
chr4,982,98200000,990,99000000,domain,800000
chr4,990,99000000,998,99800000,domain,800000
chr4,998,99800000,1010,101000000,domain,1200000
chr4,1010,101000000,1018,101800000,domain,800000
chr4,1018,101800000,1032,103200000,domain,1400000
chr4,1032,103200000,1045,104500000,domain,1300000
chr4,1045,104500000,1061,106100000,domain,1600000
chr4,1061,106100000,1073,107300000,domain,1200000
chr4,1073,107300000,1087,108700000,domain,1400000
chr4,1087,108700000,1096,109600000,domain,900000
chr4,1096,109600000,1108,110800000,domain,1200000
chr4,1108,110800000,1119,111900000,domain,1100000
chr4,1119,111900000,1135,113500000,domain,1600000
chr4,1135,113500000,1152,115200000,domain,1700000
chr4,1152,115200000,1169,116900000,domain,1700000
chr4,1169,116900000,1190,119000000,domain,2100000
chr4,1190,119000000,1209,120900000,domain,1900000
chr4,1209,120900000,1218,121800000,domain,900000
chr4,1218,121800000,1229,122900000,domain,1100000
chr4,1229,122900000,1235,123500000,domain,600000
chr4,1235,123500000,1251,125100000,domain,1600000
chr4,1251,125100000,1260,126000000,domain,900000
chr4,1260,126000000,1269,126900000,domain,900000
chr4,1269,126900000,1277,127700000,domain,800000
chr4,1277,127700000,1287,128700000,domain,1000000
chr4,1287,128700000,1294,129400000,domain,700000
chr4,1294,129400000,1310,131000000,domain,1600000
chr4,1310,131000000,1329,132900000,domain,1900000
chr4,1329,132900000,1339,133900000,domain,1000000
chr4,1339,133900000,1351,135100000,domain,1200000
chr4,1351,135100000,1362,136200000,domain,1100000
chr4,1362,136200000,1375,137500000,domain,1300000
chr4,1375,137500000,1387,138700000,domain,1200000
chr4,1387,138700000,1401,140100000,domain,1400000
chr4,1401,140100000,1409,140900000,domain,800000
chr4,1409,140900000,1426,142600000,domain,1700000
chr4,1426,142600000,1438,143800000,domain,1200000
chr4,1438,143800000,1462,146200000,domain,2400000
chr4,1462,146200000,1469,146900000,domain,700000
chr4,1469,146900000,1476,147600000,domain,700000
chr4,1476,147600000,1495,149500000,domain,1900000
chr4,1495,149500000,1504,150400000,domain,900000
chr4,1504,150400000,1510,151000000,domain,600000
chr4,1510,151000000,1522,152200000,domain,1200000
chr4,1522,152200000,1533,153300000,domain,1100000
chr4,1533,153300000,1541,154100000,domain,800000
chr4,1541,154100000,1547,154700000,domain,600000
chr4,1547,154700000,1554,155400000,domain,700000
chr4,1554,155400000,1568,156800000,domain,1400000
chr4,1568,156800000,1584,158400000,domain,1600000
chr4,1584,158400000,1597,159700000,domain,1300000
chr4,1597,159700000,1611,161100000,domain,1400000
chr4,1611,161100000,1619,161900000,domain,800000
chr4,1619,161900000,1646,164600000,domain,2700000
chr4,1646,164600000,1653,165300000,domain,700000
chr4,1653,165300000,1666,166600000,domain,1300000
chr4,1666,166600000,1703,170300000,domain,3700000
