chr,from.coord,to.coord,type
chr9,0,0,gap
chr9,0,1100000,domain
chr9,1100000,2200000,domain
chr9,2200000,2900000,domain
chr9,2900000,4300000,domain
chr9,4300000,5700000,domain
chr9,5700000,6800000,domain
chr9,6800000,9900000,domain
chr9,9900000,12400000,domain
chr9,12400000,13100000,domain
chr9,13100000,15000000,domain
chr9,15000000,15700000,domain
chr9,15700000,17400000,domain
chr9,17400000,18200000,domain
chr9,18200000,19400000,domain
chr9,19400000,21100000,domain
chr9,21100000,22400000,domain
chr9,22400000,26500000,domain
chr9,26500000,30900000,domain
chr9,30900000,32200000,domain
chr9,32200000,33100000,domain
chr9,33100000,34400000,domain
chr9,34400000,35300000,domain
chr9,35300000,36500000,domain
chr9,36500000,38100000,domain
chr9,38100000,38600000,domain
chr9,38600000,39300000,domain
chr9,39300000,39600000,domain
chr9,39600000,39900000,domain
chr9,39900000,40200000,domain
chr9,40200000,40600000,domain
chr9,40600000,41100000,domain
chr9,41100000,41400000,domain
chr9,41400000,41900000,domain
chr9,41900000,42800000,domain
chr9,42800000,44100000,domain
chr9,44100000,44800000,domain
chr9,44800000,45500000,domain
chr9,45500000,47700000,domain
chr9,47700000,49500000,domain
chr9,49500000,50100000,domain
chr9,50100000,51000000,domain
chr9,51000000,51900000,domain
chr9,51900000,53200000,domain
chr9,53200000,54100000,domain
chr9,54100000,54900000,domain
chr9,54900000,58100000,domain
chr9,58100000,59200000,domain
chr9,59200000,61200000,domain
chr9,61200000,62600000,domain
chr9,62600000,64000000,domain
chr9,64000000,65400000,domain
chr9,65400000,66600000,domain
chr9,66600000,67300000,domain
chr9,67300000,68900000,domain
chr9,68900000,69600000,domain
chr9,69600000,70700000,domain
chr9,70700000,72400000,domain
chr9,72400000,73100000,domain
chr9,73100000,74300000,domain
chr9,74300000,75400000,domain
chr9,75400000,78500000,domain
chr9,78500000,79600000,domain
chr9,79600000,81200000,domain
chr9,81200000,82500000,domain
chr9,82500000,83100000,domain
chr9,83100000,84800000,domain
chr9,84800000,86500000,domain
chr9,86500000,87200000,domain
chr9,87200000,88100000,domain
chr9,88100000,89300000,domain
chr9,89300000,90100000,domain
chr9,90100000,92000000,domain
chr9,92000000,93100000,domain
chr9,93100000,93800000,domain
chr9,93800000,94400000,domain
chr9,94400000,95700000,domain
chr9,95700000,96200000,domain
chr9,96200000,97100000,domain
chr9,97100000,98800000,domain
chr9,98800000,99600000,domain
chr9,99600000,100700000,domain
chr9,100700000,101400000,domain
chr9,101400000,103000000,domain
chr9,103000000,106200000,domain
chr9,106200000,107400000,domain
chr9,107400000,108200000,domain
