chr,from.id,from.coord,to.id,to.coord,type,size
chr2,0,0,0,0,gap,0
chr2,0,0,7,700000,domain,700000
chr2,7,700000,18,1800000,domain,1100000
chr2,18,1800000,38,3800000,domain,2000000
chr2,38,3800000,70,7000000,domain,3200000
chr2,70,7000000,82,8200000,domain,1200000
chr2,82,8200000,89,8900000,domain,700000
chr2,89,8900000,103,10300000,domain,1400000
chr2,103,10300000,114,11400000,domain,1100000
chr2,114,11400000,140,14000000,domain,2600000
chr2,140,14000000,149,14900000,domain,900000
chr2,149,14900000,158,15800000,domain,900000
chr2,158,15800000,168,16800000,domain,1000000
chr2,168,16800000,186,18600000,domain,1800000
chr2,186,18600000,213,21300000,domain,2700000
chr2,213,21300000,227,22700000,domain,1400000
chr2,227,22700000,246,24600000,domain,1900000
chr2,246,24600000,254,25400000,domain,800000
chr2,254,25400000,266,26600000,domain,1200000
chr2,266,26600000,277,27700000,domain,1100000
chr2,277,27700000,288,28800000,domain,1100000
chr2,288,28800000,298,29800000,domain,1000000
chr2,298,29800000,316,31600000,domain,1800000
chr2,316,31600000,329,32900000,domain,1300000
chr2,329,32900000,359,35900000,domain,3000000
chr2,359,35900000,368,36800000,domain,900000
chr2,368,36800000,387,38700000,domain,1900000
chr2,387,38700000,393,39300000,domain,600000
chr2,393,39300000,405,40500000,domain,1200000
chr2,405,40500000,411,41100000,domain,600000
chr2,411,41100000,426,42600000,domain,1500000
chr2,426,42600000,436,43600000,domain,1000000
chr2,436,43600000,446,44600000,domain,1000000
chr2,446,44600000,476,47600000,domain,3000000
chr2,476,47600000,486,48600000,domain,1000000
chr2,486,48600000,495,49500000,domain,900000
chr2,495,49500000,514,51400000,domain,1900000
chr2,514,51400000,523,52300000,domain,900000
chr2,523,52300000,545,54500000,domain,2200000
chr2,545,54500000,556,55600000,domain,1100000
chr2,556,55600000,582,58200000,domain,2600000
chr2,582,58200000,606,60600000,domain,2400000
chr2,606,60600000,620,62000000,domain,1400000
chr2,620,62000000,628,62800000,domain,800000
chr2,628,62800000,635,63500000,domain,700000
chr2,635,63500000,654,65400000,domain,1900000
chr2,654,65400000,663,66300000,domain,900000
chr2,663,66300000,674,67400000,domain,1100000
chr2,674,67400000,685,68500000,domain,1100000
chr2,685,68500000,709,70900000,domain,2400000
chr2,709,70900000,717,71700000,domain,800000
chr2,717,71700000,729,72900000,domain,1200000
chr2,729,72900000,761,76100000,domain,3200000
chr2,761,76100000,771,77100000,domain,1000000
chr2,771,77100000,780,78000000,domain,900000
chr2,780,78000000,791,79100000,domain,1100000
chr2,791,79100000,798,79800000,domain,700000
chr2,798,79800000,806,80600000,domain,800000
chr2,806,80600000,815,81500000,domain,900000
chr2,815,81500000,825,82500000,domain,1000000
chr2,825,82500000,832,83200000,domain,700000
chr2,832,83200000,842,84200000,domain,1000000
chr2,842,84200000,856,85600000,domain,1400000
chr2,856,85600000,878,87800000,domain,2200000
chr2,878,87800000,892,89200000,domain,1400000
chr2,892,89200000,907,90700000,domain,1500000
chr2,907,90700000,914,91400000,domain,700000
chr2,914,91400000,922,92200000,domain,800000
chr2,922,92200000,929,92900000,domain,700000
chr2,929,92900000,942,94200000,domain,1300000
chr2,942,94200000,985,98500000,domain,4300000
chr2,985,98500000,1000,100000000,domain,1500000
chr2,1000,100000000,1008,100800000,domain,800000
chr2,1008,100800000,1017,101700000,domain,900000
chr2,1017,101700000,1023,102300000,domain,600000
chr2,1023,102300000,1044,104400000,domain,2100000
chr2,1044,104400000,1075,107500000,domain,3100000
chr2,1075,107500000,1086,108600000,domain,1100000
chr2,1086,108600000,1103,110300000,domain,1700000
chr2,1103,110300000,1115,111500000,domain,1200000
chr2,1115,111500000,1131,113100000,domain,1600000
chr2,1131,113100000,1140,114000000,domain,900000
chr2,1140,114000000,1149,114900000,domain,900000
chr2,1149,114900000,1164,116400000,domain,1500000
chr2,1164,116400000,1174,117400000,domain,1000000
chr2,1174,117400000,1216,121600000,domain,4200000
chr2,1216,121600000,1233,123300000,domain,1700000
chr2,1233,123300000,1244,124400000,domain,1100000
chr2,1244,124400000,1253,125300000,domain,900000
chr2,1253,125300000,1265,126500000,domain,1200000
chr2,1265,126500000,1275,127500000,domain,1000000
chr2,1275,127500000,1282,128200000,domain,700000
chr2,1282,128200000,1298,129800000,domain,1600000
chr2,1298,129800000,1306,130600000,domain,800000
chr2,1306,130600000,1313,131300000,domain,700000
chr2,1313,131300000,1329,132900000,domain,1600000
chr2,1329,132900000,1339,133900000,domain,1000000
chr2,1339,133900000,1346,134600000,domain,700000
chr2,1346,134600000,1358,135800000,domain,1200000
chr2,1358,135800000,1374,137400000,domain,1600000
chr2,1374,137400000,1386,138600000,domain,1200000
chr2,1386,138600000,1400,140000000,domain,1400000
chr2,1400,140000000,1409,140900000,domain,900000
chr2,1409,140900000,1417,141700000,domain,800000
chr2,1417,141700000,1432,143200000,domain,1500000
chr2,1432,143200000,1449,144900000,domain,1700000
chr2,1449,144900000,1467,146700000,domain,1800000
chr2,1467,146700000,1478,147800000,domain,1100000
chr2,1478,147800000,1494,149400000,domain,1600000
chr2,1494,149400000,1500,150000000,domain,600000
chr2,1500,150000000,1512,151200000,domain,1200000
chr2,1512,151200000,1530,153000000,domain,1800000
chr2,1530,153000000,1544,154400000,domain,1400000
chr2,1544,154400000,1561,156100000,domain,1700000
chr2,1561,156100000,1583,158300000,domain,2200000
chr2,1583,158300000,1593,159300000,domain,1000000
chr2,1593,159300000,1604,160400000,domain,1100000
chr2,1604,160400000,1615,161500000,domain,1100000
chr2,1615,161500000,1635,163500000,domain,2000000
chr2,1635,163500000,1650,165000000,domain,1500000
chr2,1650,165000000,1659,165900000,domain,900000
chr2,1659,165900000,1668,166800000,domain,900000
chr2,1668,166800000,1679,167900000,domain,1100000
chr2,1679,167900000,1693,169300000,domain,1400000
chr2,1693,169300000,1706,170600000,domain,1300000
chr2,1706,170600000,1743,174300000,domain,3700000
chr2,1743,174300000,1763,176300000,domain,2000000
chr2,1763,176300000,1778,177800000,domain,1500000
chr2,1778,177800000,1787,178700000,domain,900000
chr2,1787,178700000,1802,180200000,domain,1500000
chr2,1802,180200000,1820,182000000,domain,1800000
chr2,1820,182000000,1838,183800000,domain,1800000
chr2,1838,183800000,1854,185400000,domain,1600000
chr2,1854,185400000,1862,186200000,domain,800000
chr2,1862,186200000,1871,187100000,domain,900000
chr2,1871,187100000,1883,188300000,domain,1200000
chr2,1883,188300000,1893,189300000,domain,1000000
chr2,1893,189300000,1905,190500000,domain,1200000
chr2,1905,190500000,1911,191100000,domain,600000
chr2,1911,191100000,1922,192200000,domain,1100000
chr2,1922,192200000,1932,193200000,domain,1000000
chr2,1932,193200000,1939,193900000,domain,700000
chr2,1939,193900000,1957,195700000,domain,1800000
chr2,1957,195700000,1966,196600000,domain,900000
chr2,1966,196600000,1991,199100000,domain,2500000
chr2,1991,199100000,2000,200000000,domain,900000
chr2,2000,200000000,2007,200700000,domain,700000
chr2,2007,200700000,2021,202100000,domain,1400000
chr2,2021,202100000,2028,202800000,domain,700000
chr2,2028,202800000,2042,204200000,domain,1400000
chr2,2042,204200000,2050,205000000,domain,800000
chr2,2050,205000000,2068,206800000,domain,1800000
chr2,2068,206800000,2074,207400000,domain,600000
chr2,2074,207400000,2087,208700000,domain,1300000
chr2,2087,208700000,2098,209800000,domain,1100000
chr2,2098,209800000,2106,210600000,domain,800000
chr2,2106,210600000,2123,212300000,domain,1700000
chr2,2123,212300000,2135,213500000,domain,1200000
chr2,2135,213500000,2143,214300000,domain,800000
chr2,2143,214300000,2160,216000000,domain,1700000
chr2,2160,216000000,2179,217900000,domain,1900000
