chr,from.coord,to.coord,type
chr13,0,0,gap
chr13,0,1000000,domain
chr13,1000000,2900000,domain
chr13,2900000,4700000,domain
chr13,4700000,6300000,domain
chr13,6300000,7000000,domain
chr13,7000000,7800000,domain
chr13,7800000,8500000,domain
chr13,8500000,9600000,domain
chr13,9600000,10500000,domain
chr13,10500000,11200000,domain
chr13,11200000,12200000,domain
chr13,12200000,13000000,domain
chr13,13000000,14700000,domain
chr13,14700000,16000000,domain
chr13,16000000,17800000,domain
chr13,17800000,19200000,domain
chr13,19200000,20700000,domain
chr13,20700000,21700000,domain
chr13,21700000,23000000,domain
chr13,23000000,24000000,domain
chr13,24000000,25200000,domain
chr13,25200000,27000000,domain
chr13,27000000,28200000,domain
chr13,28200000,29400000,domain
chr13,29400000,30000000,domain
chr13,30000000,34400000,domain
chr13,34400000,36200000,domain
chr13,36200000,37400000,domain
chr13,37400000,38800000,domain
chr13,38800000,41300000,domain
chr13,41300000,42600000,domain
chr13,42600000,44200000,domain
chr13,44200000,46300000,domain
chr13,46300000,47500000,domain
chr13,47500000,49500000,domain
chr13,49500000,50600000,domain
chr13,50600000,51300000,domain
chr13,51300000,52100000,domain
chr13,52100000,53800000,domain
chr13,53800000,54500000,domain
chr13,54500000,56500000,domain
chr13,56500000,57900000,domain
chr13,57900000,59300000,domain
chr13,59300000,61700000,domain
chr13,61700000,62800000,domain
chr13,62800000,66000000,domain
chr13,66000000,67900000,domain
chr13,67900000,69000000,domain
chr13,69000000,72100000,domain
chr13,72100000,72800000,domain
chr13,72800000,73700000,domain
chr13,73700000,74500000,domain
chr13,74500000,75500000,domain
chr13,75500000,76500000,domain
chr13,76500000,78800000,domain
chr13,78800000,80600000,domain
chr13,80600000,81300000,domain
chr13,81300000,83100000,domain
chr13,83100000,84100000,domain
chr13,84100000,84900000,domain
chr13,84900000,86400000,domain
chr13,86400000,87200000,domain
chr13,87200000,88100000,domain
chr13,88100000,89200000,domain
chr13,89200000,90200000,domain
