chr,from.coord,to.coord,type
chr1,0,0,gap
chr1,0,1100000,domain
chr1,1100000,1800000,domain
chr1,1800000,2500000,domain
chr1,2500000,5000000,domain
chr1,5000000,6800000,domain
chr1,6800000,8200000,domain
chr1,8200000,9300000,domain
chr1,9300000,9900000,domain
chr1,9900000,10800000,domain
chr1,10800000,11400000,domain
chr1,11400000,13300000,domain
chr1,13300000,14600000,domain
chr1,14600000,16500000,domain
chr1,16500000,17700000,domain
chr1,17700000,18300000,domain
chr1,18300000,19000000,domain
chr1,19000000,20800000,domain
chr1,20800000,21700000,domain
chr1,21700000,22800000,domain
chr1,22800000,23400000,domain
chr1,23400000,24100000,domain
chr1,24100000,25500000,domain
chr1,25500000,26900000,domain
chr1,26900000,27600000,domain
chr1,27600000,29300000,domain
chr1,29300000,30500000,domain
chr1,30500000,32100000,domain
chr1,32100000,33100000,domain
chr1,33100000,34500000,domain
chr1,34500000,35300000,domain
chr1,35300000,36400000,domain
chr1,36400000,38900000,domain
chr1,38900000,39600000,domain
chr1,39600000,40300000,domain
chr1,40300000,41000000,domain
chr1,41000000,42700000,domain
chr1,42700000,45000000,domain
chr1,45000000,46000000,domain
chr1,46000000,46700000,domain
chr1,46700000,47900000,domain
chr1,47900000,49500000,domain
chr1,49500000,51200000,domain
chr1,51200000,53100000,domain
chr1,53100000,54400000,domain
chr1,54400000,55300000,domain
chr1,55300000,56600000,domain
chr1,56600000,57300000,domain
chr1,57300000,58000000,domain
chr1,58000000,59300000,domain
chr1,59300000,60400000,domain
chr1,60400000,61200000,domain
chr1,61200000,62300000,domain
chr1,62300000,64400000,domain
chr1,64400000,65000000,domain
chr1,65000000,67200000,domain
chr1,67200000,70300000,domain
chr1,70300000,72600000,domain
chr1,72600000,73200000,domain
chr1,73200000,73800000,domain
chr1,73800000,74600000,domain
chr1,74600000,75700000,domain
chr1,75700000,78000000,domain
chr1,78000000,79500000,domain
chr1,79500000,80500000,domain
chr1,80500000,81300000,domain
chr1,81300000,82800000,domain
chr1,82800000,84200000,domain
chr1,84200000,85400000,domain
chr1,85400000,86200000,domain
chr1,86200000,87000000,domain
chr1,87000000,88100000,domain
chr1,88100000,89400000,domain
chr1,89400000,91100000,domain
chr1,91100000,92300000,domain
chr1,92300000,93900000,domain
chr1,93900000,95100000,domain
chr1,95100000,95700000,domain
chr1,95700000,97700000,domain
chr1,97700000,99900000,domain
chr1,99900000,102500000,domain
chr1,102500000,103800000,domain
chr1,103800000,105600000,domain
chr1,105600000,107500000,domain
chr1,107500000,108700000,domain
chr1,108700000,109800000,domain
chr1,109800000,110900000,domain
chr1,110900000,111700000,domain
chr1,111700000,113800000,domain
chr1,113800000,114300000,domain
chr1,114300000,114800000,domain
chr1,114800000,116200000,domain
chr1,116200000,117600000,domain
chr1,117600000,118400000,domain
chr1,118400000,119800000,domain
chr1,119800000,121200000,domain
chr1,121200000,122500000,domain
chr1,122500000,123700000,domain
chr1,123700000,124700000,domain
chr1,124700000,125600000,domain
chr1,125600000,128300000,domain
chr1,128300000,130200000,domain
chr1,130200000,131700000,domain
chr1,131700000,133100000,domain
chr1,133100000,134600000,domain
chr1,134600000,136100000,domain
chr1,136100000,137400000,domain
chr1,137400000,139000000,domain
chr1,139000000,139800000,domain
chr1,139800000,141100000,domain
chr1,141100000,143000000,domain
chr1,143000000,144600000,domain
chr1,144600000,145800000,domain
chr1,145800000,147300000,domain
chr1,147300000,148500000,domain
chr1,148500000,149200000,domain
chr1,149200000,150800000,domain
chr1,150800000,151500000,domain
chr1,151500000,153800000,domain
chr1,153800000,155000000,domain
chr1,155000000,156900000,domain
chr1,156900000,157600000,domain
chr1,157600000,158800000,domain
chr1,158800000,160400000,domain
chr1,160400000,161200000,domain
chr1,161200000,161900000,domain
chr1,161900000,163200000,domain
chr1,163200000,164000000,domain
chr1,164000000,165400000,domain
chr1,165400000,167100000,domain
chr1,167100000,168900000,domain
chr1,168900000,169800000,domain
chr1,169800000,170700000,domain
chr1,170700000,172700000,domain
chr1,172700000,174100000,domain
chr1,174100000,175800000,domain
chr1,175800000,177400000,domain
chr1,177400000,178300000,domain
chr1,178300000,180900000,domain
chr1,180900000,182500000,domain
chr1,182500000,183500000,domain
chr1,183500000,184100000,domain
chr1,184100000,185100000,domain
chr1,185100000,186400000,domain
chr1,186400000,187100000,domain
chr1,187100000,187900000,domain
chr1,187900000,189000000,domain
chr1,189000000,189900000,domain
chr1,189900000,191100000,domain
chr1,191100000,192000000,domain
chr1,192000000,192800000,domain
chr1,192800000,194100000,domain
chr1,194100000,195600000,domain
chr1,195600000,196700000,domain
chr1,196700000,197600000,domain
chr1,197600000,198200000,domain
chr1,198200000,198800000,domain
chr1,198800000,199900000,domain
chr1,199900000,202200000,domain
chr1,202200000,203600000,domain
chr1,203600000,205100000,domain
chr1,205100000,206400000,domain
chr1,206400000,207100000,domain
chr1,207100000,208700000,domain
chr1,208700000,209500000,domain
chr1,209500000,210800000,domain
