chr,from.coord,to.coord,type
chr2,0,0,gap
chr2,0,700000,domain
chr2,700000,1800000,domain
chr2,1800000,3800000,domain
chr2,3800000,7000000,domain
chr2,7000000,8200000,domain
chr2,8200000,8900000,domain
chr2,8900000,10300000,domain
chr2,10300000,11400000,domain
chr2,11400000,14000000,domain
chr2,14000000,14900000,domain
chr2,14900000,15800000,domain
chr2,15800000,16800000,domain
chr2,16800000,18600000,domain
chr2,18600000,21300000,domain
chr2,21300000,22700000,domain
chr2,22700000,24600000,domain
chr2,24600000,25400000,domain
chr2,25400000,26600000,domain
chr2,26600000,27700000,domain
chr2,27700000,28800000,domain
chr2,28800000,29800000,domain
chr2,29800000,31600000,domain
chr2,31600000,32900000,domain
chr2,32900000,35900000,domain
chr2,35900000,36800000,domain
chr2,36800000,38700000,domain
chr2,38700000,39300000,domain
chr2,39300000,40500000,domain
chr2,40500000,41100000,domain
chr2,41100000,42600000,domain
chr2,42600000,43600000,domain
chr2,43600000,44600000,domain
chr2,44600000,47600000,domain
chr2,47600000,48600000,domain
chr2,48600000,49500000,domain
chr2,49500000,51400000,domain
chr2,51400000,52300000,domain
chr2,52300000,54500000,domain
chr2,54500000,55600000,domain
chr2,55600000,58200000,domain
chr2,58200000,60600000,domain
chr2,60600000,62000000,domain
chr2,62000000,62800000,domain
chr2,62800000,63500000,domain
chr2,63500000,65400000,domain
chr2,65400000,66300000,domain
chr2,66300000,67400000,domain
chr2,67400000,68500000,domain
chr2,68500000,70900000,domain
chr2,70900000,71700000,domain
chr2,71700000,72900000,domain
chr2,72900000,76100000,domain
chr2,76100000,77100000,domain
chr2,77100000,78000000,domain
chr2,78000000,79100000,domain
chr2,79100000,79800000,domain
chr2,79800000,80600000,domain
chr2,80600000,81500000,domain
chr2,81500000,82500000,domain
chr2,82500000,83200000,domain
chr2,83200000,84200000,domain
chr2,84200000,85600000,domain
chr2,85600000,87800000,domain
chr2,87800000,89200000,domain
chr2,89200000,90700000,domain
chr2,90700000,91400000,domain
chr2,91400000,92200000,domain
chr2,92200000,92900000,domain
chr2,92900000,94200000,domain
chr2,94200000,98500000,domain
chr2,98500000,100000000,domain
chr2,100000000,100800000,domain
chr2,100800000,101700000,domain
chr2,101700000,102300000,domain
chr2,102300000,104400000,domain
chr2,104400000,107500000,domain
chr2,107500000,108600000,domain
chr2,108600000,110300000,domain
chr2,110300000,111500000,domain
chr2,111500000,113100000,domain
chr2,113100000,114000000,domain
chr2,114000000,114900000,domain
chr2,114900000,116400000,domain
chr2,116400000,117400000,domain
chr2,117400000,121600000,domain
chr2,121600000,123300000,domain
chr2,123300000,124400000,domain
chr2,124400000,125300000,domain
chr2,125300000,126500000,domain
chr2,126500000,127500000,domain
chr2,127500000,128200000,domain
chr2,128200000,129800000,domain
chr2,129800000,130600000,domain
chr2,130600000,131300000,domain
chr2,131300000,132900000,domain
chr2,132900000,133900000,domain
chr2,133900000,134600000,domain
chr2,134600000,135800000,domain
chr2,135800000,137400000,domain
chr2,137400000,138600000,domain
chr2,138600000,140000000,domain
chr2,140000000,140900000,domain
chr2,140900000,141700000,domain
chr2,141700000,143200000,domain
chr2,143200000,144900000,domain
chr2,144900000,146700000,domain
chr2,146700000,147800000,domain
chr2,147800000,149400000,domain
chr2,149400000,150000000,domain
chr2,150000000,151200000,domain
chr2,151200000,153000000,domain
chr2,153000000,154400000,domain
chr2,154400000,156100000,domain
chr2,156100000,158300000,domain
chr2,158300000,159300000,domain
chr2,159300000,160400000,domain
chr2,160400000,161500000,domain
chr2,161500000,163500000,domain
chr2,163500000,165000000,domain
chr2,165000000,165900000,domain
chr2,165900000,166800000,domain
chr2,166800000,167900000,domain
chr2,167900000,169300000,domain
chr2,169300000,170600000,domain
chr2,170600000,174300000,domain
chr2,174300000,176300000,domain
chr2,176300000,177800000,domain
chr2,177800000,178700000,domain
chr2,178700000,180200000,domain
chr2,180200000,182000000,domain
chr2,182000000,183800000,domain
chr2,183800000,185400000,domain
chr2,185400000,186200000,domain
chr2,186200000,187100000,domain
chr2,187100000,188300000,domain
chr2,188300000,189300000,domain
chr2,189300000,190500000,domain
chr2,190500000,191100000,domain
chr2,191100000,192200000,domain
chr2,192200000,193200000,domain
chr2,193200000,193900000,domain
chr2,193900000,195700000,domain
chr2,195700000,196600000,domain
chr2,196600000,199100000,domain
chr2,199100000,200000000,domain
chr2,200000000,200700000,domain
chr2,200700000,202100000,domain
chr2,202100000,202800000,domain
chr2,202800000,204200000,domain
chr2,204200000,205000000,domain
chr2,205000000,206800000,domain
chr2,206800000,207400000,domain
chr2,207400000,208700000,domain
chr2,208700000,209800000,domain
chr2,209800000,210600000,domain
chr2,210600000,212300000,domain
chr2,212300000,213500000,domain
chr2,213500000,214300000,domain
chr2,214300000,216000000,domain
chr2,216000000,217900000,domain
