chr,from.coord,to.coord,type
chr11,0,0,gap
chr11,0,600000,domain
chr11,600000,1400000,domain
chr11,1400000,2000000,domain
chr11,2000000,3200000,domain
chr11,3200000,3800000,domain
chr11,3800000,6100000,domain
chr11,6100000,7300000,domain
chr11,7300000,8200000,domain
chr11,8200000,9100000,domain
chr11,9100000,10100000,domain
chr11,10100000,11500000,domain
chr11,11500000,12700000,domain
chr11,12700000,14500000,domain
chr11,14500000,15900000,domain
chr11,15900000,17200000,domain
chr11,17200000,18000000,domain
chr11,18000000,19800000,domain
chr11,19800000,21300000,domain
chr11,21300000,22000000,domain
chr11,22000000,25400000,domain
chr11,25400000,26700000,domain
chr11,26700000,27700000,domain
chr11,27700000,28500000,domain
chr11,28500000,30200000,domain
chr11,30200000,31400000,domain
chr11,31400000,33300000,domain
chr11,33300000,34200000,domain
chr11,34200000,35500000,domain
chr11,35500000,37600000,domain
chr11,37600000,39100000,domain
chr11,39100000,40200000,domain
chr11,40200000,41300000,domain
chr11,41300000,42100000,domain
chr11,42100000,42800000,domain
chr11,42800000,44300000,domain
chr11,44300000,46700000,domain
chr11,46700000,48700000,domain
chr11,48700000,50800000,domain
chr11,50800000,52000000,domain
chr11,52000000,53800000,domain
chr11,53800000,55700000,domain
chr11,55700000,56900000,domain
chr11,56900000,58200000,domain
chr11,58200000,59900000,domain
chr11,59900000,61600000,domain
chr11,61600000,62300000,domain
chr11,62300000,64400000,domain
chr11,64400000,65200000,domain
chr11,65200000,67000000,domain
chr11,67000000,68000000,domain
chr11,68000000,69900000,domain
chr11,69900000,71100000,domain
chr11,71100000,72200000,domain
chr11,72200000,72900000,domain
chr11,72900000,73900000,domain
chr11,73900000,75200000,domain
chr11,75200000,75800000,domain
chr11,75800000,77200000,domain
chr11,77200000,78600000,domain
chr11,78600000,80200000,domain
chr11,80200000,81200000,domain
chr11,81200000,82300000,domain
chr11,82300000,83100000,domain
chr11,83100000,83800000,domain
chr11,83800000,86400000,domain
chr11,86400000,87200000,domain
chr11,87200000,88500000,domain
chr11,88500000,89500000,domain
chr11,89500000,90400000,domain
chr11,90400000,91900000,domain
chr11,91900000,93300000,domain
chr11,93300000,94900000,domain
chr11,94900000,96300000,domain
chr11,96300000,97200000,domain
chr11,97200000,97800000,domain
chr11,97800000,98800000,domain
chr11,98800000,99400000,domain
chr11,99400000,101800000,domain
chr11,101800000,103900000,domain
chr11,103900000,104600000,domain
chr11,104600000,105400000,domain
chr11,105400000,108300000,domain
chr11,108300000,109300000,domain
chr11,109300000,110800000,domain
chr11,110800000,112400000,domain
chr11,112400000,113000000,domain
chr11,113000000,113800000,domain
chr11,113800000,114900000,domain
chr11,114900000,115700000,domain
chr11,115700000,117000000,domain
chr11,117000000,117800000,domain
chr11,117800000,119100000,domain
