chr,from.coord,to.coord,type
chr18,0,0,gap
chr18,0,800000,domain
chr18,800000,2500000,domain
chr18,2500000,3100000,domain
chr18,3100000,3800000,domain
chr18,3800000,4900000,domain
chr18,4900000,5600000,domain
chr18,5600000,6400000,domain
chr18,6400000,8200000,domain
chr18,8200000,9600000,domain
chr18,9600000,10400000,domain
chr18,10400000,11100000,domain
chr18,11100000,13900000,domain
chr18,13900000,15000000,domain
chr18,15000000,15700000,domain
chr18,15700000,16800000,domain
chr18,16800000,18500000,domain
chr18,18500000,20100000,domain
chr18,20100000,22300000,domain
chr18,22300000,23400000,domain
chr18,23400000,24600000,domain
chr18,24600000,25600000,domain
chr18,25600000,27400000,domain
chr18,27400000,29100000,domain
chr18,29100000,32600000,domain
chr18,32600000,34200000,domain
chr18,34200000,35900000,domain
chr18,35900000,37500000,domain
chr18,37500000,40200000,domain
chr18,40200000,41800000,domain
chr18,41800000,42600000,domain
chr18,42600000,44500000,domain
chr18,44500000,46100000,domain
chr18,46100000,47700000,domain
chr18,47700000,48700000,domain
chr18,48700000,49600000,domain
chr18,49600000,51100000,domain
chr18,51100000,52500000,domain
chr18,52500000,53500000,domain
chr18,53500000,57200000,domain
chr18,57200000,58900000,domain
chr18,58900000,60600000,domain
chr18,60600000,62700000,domain
chr18,62700000,64100000,domain
chr18,64100000,66900000,domain
chr18,66900000,67800000,domain
chr18,67800000,69100000,domain
chr18,69100000,70300000,domain
