chr,from.coord,to.coord,type
chr16,0,0,gap
chr16,0,700000,domain
chr16,700000,1300000,domain
chr16,1300000,2000000,domain
chr16,2000000,3000000,domain
chr16,3000000,4400000,domain
chr16,4400000,5200000,domain
chr16,5200000,6700000,domain
chr16,6700000,8600000,domain
chr16,8600000,9300000,domain
chr16,9300000,10900000,domain
chr16,10900000,11600000,domain
chr16,11600000,13400000,domain
chr16,13400000,14200000,domain
chr16,14200000,15200000,domain
chr16,15200000,16600000,domain
chr16,16600000,17500000,domain
chr16,17500000,18500000,domain
chr16,18500000,19300000,domain
chr16,19300000,20200000,domain
chr16,20200000,21200000,domain
chr16,21200000,22900000,domain
chr16,22900000,24800000,domain
chr16,24800000,26000000,domain
chr16,26000000,27000000,domain
chr16,27000000,27700000,domain
chr16,27700000,28900000,domain
chr16,28900000,29800000,domain
chr16,29800000,30800000,domain
chr16,30800000,32600000,domain
chr16,32600000,33100000,domain
chr16,33100000,34400000,domain
chr16,34400000,35100000,domain
chr16,35100000,36300000,domain
chr16,36300000,37200000,domain
chr16,37200000,41300000,domain
chr16,41300000,42300000,domain
chr16,42300000,45700000,domain
chr16,45700000,46800000,domain
chr16,46800000,48700000,domain
chr16,48700000,50400000,domain
chr16,50400000,51400000,domain
chr16,51400000,52300000,domain
chr16,52300000,53100000,domain
chr16,53100000,53900000,domain
chr16,53900000,54800000,domain
chr16,54800000,57000000,domain
chr16,57000000,58500000,domain
chr16,58500000,59900000,domain
chr16,59900000,60900000,domain
chr16,60900000,62300000,domain
chr16,62300000,63700000,domain
chr16,63700000,64500000,domain
chr16,64500000,66200000,domain
chr16,66200000,67800000,domain
chr16,67800000,69100000,domain
chr16,69100000,70300000,domain
chr16,70300000,71400000,domain
chr16,71400000,71900000,domain
