chr,from.coord,to.coord,type
chr19,0,0,gap
chr19,0,500000,domain
chr19,500000,1000000,domain
chr19,1000000,1600000,domain
chr19,1600000,2600000,domain
chr19,2600000,4400000,domain
chr19,4400000,5400000,domain
chr19,5400000,6600000,domain
chr19,6600000,8300000,domain
chr19,8300000,9500000,domain
chr19,9500000,11200000,domain
chr19,11200000,12500000,domain
chr19,12500000,14100000,domain
chr19,14100000,16100000,domain
chr19,16100000,17000000,domain
chr19,17000000,18000000,domain
chr19,18000000,19200000,domain
chr19,19200000,22100000,domain
chr19,22100000,23600000,domain
chr19,23600000,25400000,domain
chr19,25400000,26600000,domain
chr19,26600000,28200000,domain
chr19,28200000,30900000,domain
chr19,30900000,31900000,domain
chr19,31900000,33600000,domain
chr19,33600000,38500000,domain
chr19,38500000,39800000,domain
chr19,39800000,40900000,domain
chr19,40900000,41700000,domain
chr19,41700000,43000000,domain
chr19,43000000,45100000,domain
chr19,45100000,46700000,domain
chr19,46700000,49100000,domain
chr19,49100000,50500000,domain
chr19,50500000,51200000,domain
chr19,51200000,52000000,domain
chr19,52000000,53000000,domain
chr19,53000000,53400000,domain
