chr,from.id,from.coord,to.id,to.coord,type,size
chr12,0,0,0,0,gap,0
chr12,0,0,3,300000,domain,300000
chr12,3,300000,9,900000,domain,600000
chr12,9,900000,17,1700000,domain,800000
chr12,17,1700000,30,3000000,domain,1300000
chr12,30,3000000,37,3700000,domain,700000
chr12,37,3700000,47,4700000,domain,1000000
chr12,47,4700000,66,6600000,domain,1900000
chr12,66,6600000,78,7800000,domain,1200000
chr12,78,7800000,86,8600000,domain,800000
chr12,86,8600000,100,10000000,domain,1400000
chr12,100,10000000,108,10800000,domain,800000
chr12,108,10800000,117,11700000,domain,900000
chr12,117,11700000,130,13000000,domain,1300000
chr12,130,13000000,136,13600000,domain,600000
chr12,136,13600000,149,14900000,domain,1300000
chr12,149,14900000,168,16800000,domain,1900000
chr12,168,16800000,180,18000000,domain,1200000
chr12,180,18000000,200,20000000,domain,2000000
chr12,200,20000000,215,21500000,domain,1500000
chr12,215,21500000,236,23600000,domain,2100000
chr12,236,23600000,242,24200000,domain,600000
chr12,242,24200000,248,24800000,domain,600000
chr12,248,24800000,255,25500000,domain,700000
chr12,255,25500000,264,26400000,domain,900000
chr12,264,26400000,282,28200000,domain,1800000
chr12,282,28200000,298,29800000,domain,1600000
chr12,298,29800000,314,31400000,domain,1600000
chr12,314,31400000,330,33000000,domain,1600000
chr12,330,33000000,342,34200000,domain,1200000
chr12,342,34200000,359,35900000,domain,1700000
chr12,359,35900000,369,36900000,domain,1000000
chr12,369,36900000,374,37400000,domain,500000
chr12,374,37400000,388,38800000,domain,1400000
chr12,388,38800000,399,39900000,domain,1100000
chr12,399,39900000,409,40900000,domain,1000000
chr12,409,40900000,419,41900000,domain,1000000
chr12,419,41900000,426,42600000,domain,700000
chr12,426,42600000,434,43400000,domain,800000
chr12,434,43400000,454,45400000,domain,2000000
chr12,454,45400000,466,46600000,domain,1200000
chr12,466,46600000,476,47600000,domain,1000000
chr12,476,47600000,489,48900000,domain,1300000
chr12,489,48900000,505,50500000,domain,1600000
chr12,505,50500000,518,51800000,domain,1300000
chr12,518,51800000,526,52600000,domain,800000
chr12,526,52600000,546,54600000,domain,2000000
chr12,546,54600000,553,55300000,domain,700000
chr12,553,55300000,566,56600000,domain,1300000
chr12,566,56600000,592,59200000,domain,2600000
chr12,592,59200000,604,60400000,domain,1200000
chr12,604,60400000,610,61000000,domain,600000
chr12,610,61000000,619,61900000,domain,900000
chr12,619,61900000,629,62900000,domain,1000000
chr12,629,62900000,642,64200000,domain,1300000
chr12,642,64200000,658,65800000,domain,1600000
chr12,658,65800000,666,66600000,domain,800000
chr12,666,66600000,673,67300000,domain,700000
chr12,673,67300000,690,69000000,domain,1700000
chr12,690,69000000,700,70000000,domain,1000000
chr12,700,70000000,714,71400000,domain,1400000
chr12,714,71400000,723,72300000,domain,900000
chr12,723,72300000,733,73300000,domain,1000000
chr12,733,73300000,744,74400000,domain,1100000
chr12,744,74400000,765,76500000,domain,2100000
chr12,765,76500000,785,78500000,domain,2000000
chr12,785,78500000,795,79500000,domain,1000000
chr12,795,79500000,810,81000000,domain,1500000
chr12,810,81000000,817,81700000,domain,700000
chr12,817,81700000,824,82400000,domain,700000
chr12,824,82400000,840,84000000,domain,1600000
chr12,840,84000000,846,84600000,domain,600000
chr12,846,84600000,852,85200000,domain,600000
chr12,852,85200000,868,86800000,domain,1600000
chr12,868,86800000,875,87500000,domain,700000
chr12,875,87500000,893,89300000,domain,1800000
chr12,893,89300000,907,90700000,domain,1400000
chr12,907,90700000,923,92300000,domain,1600000
chr12,923,92300000,936,93600000,domain,1300000
chr12,936,93600000,945,94500000,domain,900000
chr12,945,94500000,958,95800000,domain,1300000
chr12,958,95800000,967,96700000,domain,900000
chr12,967,96700000,975,97500000,domain,800000
chr12,975,97500000,996,99600000,domain,2100000
chr12,996,99600000,1002,100200000,domain,600000
chr12,1002,100200000,1020,102000000,domain,1800000
chr12,1020,102000000,1031,103100000,domain,1100000
chr12,1031,103100000,1044,104400000,domain,1300000
chr12,1044,104400000,1054,105400000,domain,1000000
chr12,1054,105400000,1061,106100000,domain,700000
chr12,1061,106100000,1067,106700000,domain,600000
chr12,1067,106700000,1083,108300000,domain,1600000
chr12,1083,108300000,1090,109000000,domain,700000
chr12,1090,109000000,1114,111400000,domain,2400000
chr12,1114,111400000,1121,112100000,domain,700000
chr12,1121,112100000,1156,115600000,domain,3500000
chr12,1156,115600000,1164,116400000,domain,800000
chr12,1164,116400000,1179,117900000,domain,1500000
chr12,1179,117900000,1193,119300000,domain,1400000
chr12,1193,119300000,1202,120200000,domain,900000
