chr,from.coord,to.coord,type
chr12,0,0,gap
chr12,0,300000,domain
chr12,300000,900000,domain
chr12,900000,1700000,domain
chr12,1700000,3000000,domain
chr12,3000000,3700000,domain
chr12,3700000,4700000,domain
chr12,4700000,6600000,domain
chr12,6600000,7800000,domain
chr12,7800000,8600000,domain
chr12,8600000,10000000,domain
chr12,10000000,10800000,domain
chr12,10800000,11700000,domain
chr12,11700000,13000000,domain
chr12,13000000,13600000,domain
chr12,13600000,14900000,domain
chr12,14900000,16800000,domain
chr12,16800000,18000000,domain
chr12,18000000,20000000,domain
chr12,20000000,21500000,domain
chr12,21500000,23600000,domain
chr12,23600000,24200000,domain
chr12,24200000,24800000,domain
chr12,24800000,25500000,domain
chr12,25500000,26400000,domain
chr12,26400000,28200000,domain
chr12,28200000,29800000,domain
chr12,29800000,31400000,domain
chr12,31400000,33000000,domain
chr12,33000000,34200000,domain
chr12,34200000,35900000,domain
chr12,35900000,36900000,domain
chr12,36900000,37400000,domain
chr12,37400000,38800000,domain
chr12,38800000,39900000,domain
chr12,39900000,40900000,domain
chr12,40900000,41900000,domain
chr12,41900000,42600000,domain
chr12,42600000,43400000,domain
chr12,43400000,45400000,domain
chr12,45400000,46600000,domain
chr12,46600000,47600000,domain
chr12,47600000,48900000,domain
chr12,48900000,50500000,domain
chr12,50500000,51800000,domain
chr12,51800000,52600000,domain
chr12,52600000,54600000,domain
chr12,54600000,55300000,domain
chr12,55300000,56600000,domain
chr12,56600000,59200000,domain
chr12,59200000,60400000,domain
chr12,60400000,61000000,domain
chr12,61000000,61900000,domain
chr12,61900000,62900000,domain
chr12,62900000,64200000,domain
chr12,64200000,65800000,domain
chr12,65800000,66600000,domain
chr12,66600000,67300000,domain
chr12,67300000,69000000,domain
chr12,69000000,70000000,domain
chr12,70000000,71400000,domain
chr12,71400000,72300000,domain
chr12,72300000,73300000,domain
chr12,73300000,74400000,domain
chr12,74400000,76500000,domain
chr12,76500000,78500000,domain
chr12,78500000,79500000,domain
chr12,79500000,81000000,domain
chr12,81000000,81700000,domain
chr12,81700000,82400000,domain
chr12,82400000,84000000,domain
chr12,84000000,84600000,domain
chr12,84600000,85200000,domain
chr12,85200000,86800000,domain
chr12,86800000,87500000,domain
chr12,87500000,89300000,domain
chr12,89300000,90700000,domain
chr12,90700000,92300000,domain
chr12,92300000,93600000,domain
chr12,93600000,94500000,domain
chr12,94500000,95800000,domain
chr12,95800000,96700000,domain
chr12,96700000,97500000,domain
chr12,97500000,99600000,domain
chr12,99600000,100200000,domain
chr12,100200000,102000000,domain
chr12,102000000,103100000,domain
chr12,103100000,104400000,domain
chr12,104400000,105400000,domain
chr12,105400000,106100000,domain
chr12,106100000,106700000,domain
chr12,106700000,108300000,domain
chr12,108300000,109000000,domain
chr12,109000000,111400000,domain
chr12,111400000,112100000,domain
chr12,112100000,115600000,domain
chr12,115600000,116400000,domain
chr12,116400000,117900000,domain
chr12,117900000,119300000,domain
chr12,119300000,120200000,domain
