chr,from.coord,to.coord,type
chr4,0,0,gap
chr4,0,700000,domain
chr4,700000,2100000,domain
chr4,2100000,3300000,domain
chr4,3300000,4200000,domain
chr4,4200000,5400000,domain
chr4,5400000,6600000,domain
chr4,6600000,7500000,domain
chr4,7500000,8400000,domain
chr4,8400000,11000000,domain
chr4,11000000,12200000,domain
chr4,12200000,13200000,domain
chr4,13200000,14900000,domain
chr4,14900000,16300000,domain
chr4,16300000,17500000,domain
chr4,17500000,19000000,domain
chr4,19000000,20400000,domain
chr4,20400000,21600000,domain
chr4,21600000,24200000,domain
chr4,24200000,28800000,domain
chr4,28800000,29900000,domain
chr4,29900000,31400000,domain
chr4,31400000,32000000,domain
chr4,32000000,32700000,domain
chr4,32700000,33800000,domain
chr4,33800000,35500000,domain
chr4,35500000,37500000,domain
chr4,37500000,38800000,domain
chr4,38800000,39600000,domain
chr4,39600000,41900000,domain
chr4,41900000,42700000,domain
chr4,42700000,44400000,domain
chr4,44400000,46500000,domain
chr4,46500000,47600000,domain
chr4,47600000,50000000,domain
chr4,50000000,51900000,domain
chr4,51900000,54600000,domain
chr4,54600000,55500000,domain
chr4,55500000,56400000,domain
chr4,56400000,57500000,domain
chr4,57500000,58100000,domain
chr4,58100000,58700000,domain
chr4,58700000,59300000,domain
chr4,59300000,60000000,domain
chr4,60000000,61700000,domain
chr4,61700000,63100000,domain
chr4,63100000,63900000,domain
chr4,63900000,65200000,domain
chr4,65200000,66500000,domain
chr4,66500000,67500000,domain
chr4,67500000,68500000,domain
chr4,68500000,69400000,domain
chr4,69400000,71000000,domain
chr4,71000000,72100000,domain
chr4,72100000,72900000,domain
chr4,72900000,74700000,domain
chr4,74700000,75900000,domain
chr4,75900000,77900000,domain
chr4,77900000,80600000,domain
chr4,80600000,81900000,domain
chr4,81900000,83600000,domain
chr4,83600000,85400000,domain
chr4,85400000,87700000,domain
chr4,87700000,88400000,domain
chr4,88400000,89200000,domain
chr4,89200000,91500000,domain
chr4,91500000,93200000,domain
chr4,93200000,93800000,domain
chr4,93800000,94500000,domain
chr4,94500000,95600000,domain
chr4,95600000,97100000,domain
chr4,97100000,98200000,domain
chr4,98200000,99000000,domain
chr4,99000000,99800000,domain
chr4,99800000,101000000,domain
chr4,101000000,101800000,domain
chr4,101800000,103200000,domain
chr4,103200000,104500000,domain
chr4,104500000,106100000,domain
chr4,106100000,107300000,domain
chr4,107300000,108700000,domain
chr4,108700000,109600000,domain
chr4,109600000,110800000,domain
chr4,110800000,111900000,domain
chr4,111900000,113500000,domain
chr4,113500000,115200000,domain
chr4,115200000,116900000,domain
chr4,116900000,119000000,domain
chr4,119000000,120900000,domain
chr4,120900000,121800000,domain
chr4,121800000,122900000,domain
chr4,122900000,123500000,domain
chr4,123500000,125100000,domain
chr4,125100000,126000000,domain
chr4,126000000,126900000,domain
chr4,126900000,127700000,domain
chr4,127700000,128700000,domain
chr4,128700000,129400000,domain
chr4,129400000,131000000,domain
chr4,131000000,132900000,domain
chr4,132900000,133900000,domain
chr4,133900000,135100000,domain
chr4,135100000,136200000,domain
chr4,136200000,137500000,domain
chr4,137500000,138700000,domain
chr4,138700000,140100000,domain
chr4,140100000,140900000,domain
chr4,140900000,142600000,domain
chr4,142600000,143800000,domain
chr4,143800000,146200000,domain
chr4,146200000,146900000,domain
chr4,146900000,147600000,domain
chr4,147600000,149500000,domain
chr4,149500000,150400000,domain
chr4,150400000,151000000,domain
chr4,151000000,152200000,domain
chr4,152200000,153300000,domain
chr4,153300000,154100000,domain
chr4,154100000,154700000,domain
chr4,154700000,155400000,domain
chr4,155400000,156800000,domain
chr4,156800000,158400000,domain
chr4,158400000,159700000,domain
chr4,159700000,161100000,domain
chr4,161100000,161900000,domain
chr4,161900000,164600000,domain
chr4,164600000,165300000,domain
chr4,165300000,166600000,domain
chr4,166600000,170300000,domain
