chr,from.coord,to.coord,type
chr20,0,0,gap
chr20,0,1100000,domain
chr20,1100000,2400000,domain
chr20,2400000,4000000,domain
chr20,4000000,4600000,domain
chr20,4600000,5200000,domain
chr20,5200000,6000000,domain
chr20,6000000,7800000,domain
chr20,7800000,8700000,domain
chr20,8700000,10400000,domain
chr20,10400000,11500000,domain
chr20,11500000,12800000,domain
chr20,12800000,14000000,domain
chr20,14000000,15600000,domain
chr20,15600000,16700000,domain
chr20,16700000,17300000,domain
chr20,17300000,18200000,domain
chr20,18200000,19600000,domain
chr20,19600000,20700000,domain
chr20,20700000,21500000,domain
chr20,21500000,22200000,domain
chr20,22200000,23600000,domain
chr20,23600000,24800000,domain
chr20,24800000,25600000,domain
chr20,25600000,26900000,domain
chr20,26900000,27600000,domain
chr20,27600000,29500000,domain
chr20,29500000,30100000,domain
chr20,30100000,31300000,domain
chr20,31300000,32700000,domain
chr20,32700000,34600000,domain
chr20,34600000,35300000,domain
chr20,35300000,36900000,domain
chr20,36900000,37500000,domain
chr20,37500000,39200000,domain
chr20,39200000,40300000,domain
chr20,40300000,40800000,domain
chr20,40800000,41600000,domain
chr20,41600000,42700000,domain
chr20,42700000,43500000,domain
chr20,43500000,44700000,domain
chr20,44700000,46000000,domain
chr20,46000000,46700000,domain
chr20,46700000,47300000,domain
chr20,47300000,48800000,domain
chr20,48800000,49900000,domain
chr20,49900000,50600000,domain
chr20,50600000,52300000,domain
chr20,52300000,54300000,domain
chr20,54300000,55900000,domain
chr20,55900000,56700000,domain
