chr,from.coord,to.coord,type
chr8,0,0,gap
chr8,0,1900000,domain
chr8,1900000,4700000,domain
chr8,4700000,5900000,domain
chr8,5900000,6700000,domain
chr8,6700000,8200000,domain
chr8,8200000,9900000,domain
chr8,9900000,11000000,domain
chr8,11000000,14500000,domain
chr8,14500000,15200000,domain
chr8,15200000,16100000,domain
chr8,16100000,17500000,domain
chr8,17500000,19400000,domain
chr8,19400000,21100000,domain
chr8,21100000,22600000,domain
chr8,22600000,23300000,domain
chr8,23300000,24600000,domain
chr8,24600000,25800000,domain
chr8,25800000,27100000,domain
chr8,27100000,28200000,domain
chr8,28200000,29600000,domain
chr8,29600000,31300000,domain
chr8,31300000,32200000,domain
chr8,32200000,32900000,domain
chr8,32900000,34200000,domain
chr8,34200000,35400000,domain
chr8,35400000,36900000,domain
chr8,36900000,38600000,domain
chr8,38600000,39400000,domain
chr8,39400000,43100000,domain
chr8,43100000,44700000,domain
chr8,44700000,46000000,domain
chr8,46000000,46800000,domain
chr8,46800000,47900000,domain
chr8,47900000,49200000,domain
chr8,49200000,50900000,domain
chr8,50900000,52000000,domain
chr8,52000000,53500000,domain
chr8,53500000,54700000,domain
chr8,54700000,55900000,domain
chr8,55900000,58600000,domain
chr8,58600000,59700000,domain
chr8,59700000,60800000,domain
chr8,60800000,61900000,domain
chr8,61900000,62400000,domain
chr8,62400000,63400000,domain
chr8,63400000,64400000,domain
chr8,64400000,65400000,domain
chr8,65400000,66400000,domain
chr8,66400000,67600000,domain
chr8,67600000,68500000,domain
chr8,68500000,69700000,domain
chr8,69700000,70500000,domain
chr8,70500000,71800000,domain
chr8,71800000,74700000,domain
chr8,74700000,76500000,domain
chr8,76500000,79400000,domain
chr8,79400000,81100000,domain
chr8,81100000,83300000,domain
chr8,83300000,84700000,domain
chr8,84700000,85700000,domain
chr8,85700000,87500000,domain
chr8,87500000,89800000,domain
chr8,89800000,90900000,domain
chr8,90900000,91700000,domain
chr8,91700000,92800000,domain
chr8,92800000,93800000,domain
chr8,93800000,94900000,domain
chr8,94900000,95800000,domain
chr8,95800000,96800000,domain
chr8,96800000,100700000,domain
chr8,100700000,101400000,domain
chr8,101400000,102600000,domain
chr8,102600000,105200000,domain
chr8,105200000,107700000,domain
chr8,107700000,108900000,domain
chr8,108900000,110600000,domain
chr8,110600000,111500000,domain
chr8,111500000,112200000,domain
chr8,112200000,112800000,domain
chr8,112800000,113900000,domain
chr8,113900000,114500000,domain
chr8,114500000,116100000,domain
chr8,116100000,117000000,domain
chr8,117000000,119500000,domain
chr8,119500000,120500000,domain
chr8,120500000,122400000,domain
chr8,122400000,124300000,domain
chr8,124300000,126700000,domain
chr8,126700000,128000000,domain
chr8,128000000,128700000,domain
chr8,128700000,129800000,domain
chr8,129800000,130400000,domain
